1.060030000000000072e+01 1.185331851169842594e+04 3.996982999999999743e-04
1.066080000000000005e+01 1.187536511201957364e+04 8.553630900000000091e-04
1.072129999999999939e+01 1.193796541183734189e+04 4.910042000000000312e-04
1.078170000000000073e+01 1.199890166933165892e+04 4.168490100000000207e-04
1.084220000000000006e+01 1.204142806669296806e+04 4.248436299999999743e-04
1.090269999999999939e+01 1.211969483094894349e+04 6.323133699999999467e-04
1.096320000000000050e+01 1.223827721588467466e+04 4.074087799999999730e-04
1.102369999999999983e+01 1.226137995767670691e+04 1.032579299999999934e-03
1.108419999999999916e+01 1.227642252387150074e+04 4.281635599999999986e-04
1.114470000000000027e+01 1.231996083462309070e+04 4.761655300000000157e-04
1.120509999999999984e+01 1.244602717541088168e+04 5.562915499999999611e-04
1.126559999999999917e+01 1.247782308759916486e+04 1.205182400000000091e-03
1.132610000000000028e+01 1.260155945545979375e+04 1.044152499999999968e-03
1.138659999999999961e+01 1.264173831413143307e+04 1.377680199999999902e-03
1.144710000000000072e+01 1.279644437599373487e+04 5.484754800000000161e-04
1.150760000000000005e+01 1.283124528826847563e+04 4.627062300000000139e-04
1.156799999999999962e+01 1.296689751659719514e+04 5.362096699999999811e-04
1.162850000000000072e+01 1.298725215757947808e+04 1.082682099999999993e-03
1.168900000000000006e+01 1.316368330357413470e+04 4.690196399999999803e-04
1.174949999999999939e+01 1.306143613674930384e+04 5.241294300000000394e-04
1.181000000000000050e+01 1.311500136115054920e+04 5.482278099999999968e-04
1.187049999999999983e+01 1.302713867177506290e+04 4.845588699999999979e-04
1.193089999999999939e+01 1.318743848797366809e+04 5.050422599999999712e-04
1.199140000000000050e+01 1.342317478494389979e+04 1.084532499999999984e-03
1.205189999999999984e+01 1.355873698873975991e+04 5.189610499999999836e-04
1.211239999999999917e+01 1.366476581329343389e+04 8.668254600000000008e-04
1.217290000000000028e+01 1.370570627323959161e+04 5.644957999999999834e-04
1.223339999999999961e+01 1.371222787624559533e+04 5.703845500000000309e-04
1.229379999999999917e+01 1.372508852379723794e+04 1.268520499999999931e-03
1.235430000000000028e+01 1.377358382999415880e+04 6.963812599999999768e-04
1.241479999999999961e+01 1.390275178256220897e+04 7.386747699999999953e-04
1.247530000000000072e+01 1.384652910923273521e+04 6.932321100000000003e-04
1.253580000000000005e+01 1.386501644692538321e+04 6.928026600000000311e-04
1.259629999999999939e+01 1.399479543708930214e+04 6.155308199999999594e-04
1.265670000000000073e+01 1.413403955017689623e+04 7.469555100000000152e-04
1.271720000000000006e+01 1.422242701670735551e+04 1.272481300000000105e-03
1.277769999999999939e+01 1.425081297524846923e+04 1.594670000000000072e-03
1.283820000000000050e+01 1.423990589142735735e+04 8.000638899999999677e-04
1.289869999999999983e+01 1.440422669886899712e+04 1.271839799999999925e-03
1.295919999999999916e+01 1.452374006921773071e+04 1.081227099999999960e-03
1.301970000000000027e+01 1.447935138735607870e+04 7.809363299999999607e-04
1.308009999999999984e+01 1.455408429660433103e+04 8.867636800000000411e-04
1.314059999999999917e+01 1.455313198133684818e+04 2.709190399999999912e-03
1.320110000000000028e+01 1.456184585423891258e+04 2.023014200000000130e-03
1.326159999999999961e+01 1.472160803263499110e+04 8.039742800000000168e-04
1.332210000000000072e+01 1.475357552468207359e+04 8.420304499999999503e-04
1.338260000000000005e+01 1.471989035200101898e+04 1.172502599999999950e-03
1.344299999999999962e+01 1.466932228582797143e+04 9.786194399999999932e-04
1.350350000000000072e+01 1.479742468669521986e+04 8.313793199999999512e-04
1.356400000000000006e+01 1.479538894029009134e+04 9.160051100000000035e-04
1.362449999999999939e+01 1.480530261750642421e+04 8.576303999999999872e-04
1.368500000000000050e+01 1.497743172005789529e+04 8.812681799999999782e-04
1.374549999999999983e+01 1.484337327100258335e+04 3.705416799999999844e-03
1.380589999999999939e+01 1.498234417374829172e+04 1.232336699999999913e-03
1.386640000000000050e+01 1.508944325511772331e+04 8.910419400000000071e-04
